ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
ch1-sqlvm12,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-sec/providers/microsoft.compute/virtualmachines/ch1-sqlvm12,Virtual machine,ch1-retailrg-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-sec,"us west 2, intercontinental, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""demo_cost_centre\"":\""3000333\"""",""\""demo_application\"":\""azure_analytics\"""",""\""demo_team\"":\""red\"""",""\""demo_business_unit\"":\""finops\"""",""\""demo_environment\"":\""qa\"""",""\""scenario\"":\""ops\"""",""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""updatedomain\"":\""0\""""]",27.69829045,27.69829045,USD
ch1-sqlvm00,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.compute/virtualmachines/ch1-sqlvm00,Virtual machine,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"intercontinental, us east, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_commerce\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""2000222\"""",""\""demo_environment\"":\""prod\"""",""\""demo_team\"":\""red\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""retail\"""",""\""updatedomain\"":\""0\""""]",27.61926049,27.61926049,USD
ch1-sqlvm01,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.compute/virtualmachines/ch1-sqlvm01,Virtual machine,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"us east, US East, intercontinental",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""demo_cost_centre\"":\""2000222\"""",""\""demo_application\"":\""azure_commerce\"""",""\""demo_team\"":\""red\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_environment\"":\""prod\"""",""\""scenario\"":\""retail\"""",""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""updatedomain\"":\""1\""""]",27.52221587,27.52221587,USD
aks-nodepool1-12297940-vmss,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-fabrikamrg_ch1-gearamaaks_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-12297940-vmss,Virtual machine scale set,mc_ch1-fabrikamrg_ch1-gearamaaks_eastus,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-fabrikamrg_ch1-gearamaaks_eastus,"intercontinental, US East, us east",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""aks-managed-createoperationid\"":\""65b242f4-36f1-4f2f-9f71-88ee2f9ba444\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-nodepool1-12297940-vmss\"""",""\""aks-managed-orchestrator:kubernetes\"":\""1.23.5\"""",""\""aks-managed-poolname\"":\""nodepool1\"""",""\""aks-managed-resourcenamesuffix\"":\""37091492\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.23.5\""""]",27.46681749,27.46681749,USD
aks-linuxpool-34619554-vmss,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-linuxpool-34619554-vmss,Virtual machine scale set,mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus,"intercontinental, US East, us east",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""aks-managed-createoperationid\"":\""73a6c91f-86e6-40be-a478-b446a2811536\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-linuxpool-34619554-vmss\"""",""\""aks-managed-orchestrator:kubernetes\"":\""1.23.5\"""",""\""aks-managed-poolname\"":\""linuxpool\"""",""\""aks-managed-resourcenamesuffix\"":\""35280019\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.23.5\""""]",27.4642499,27.4642499,USD
aks-linuxpool-32489674-vmss,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contosononmonitoredcluster_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-linuxpool-32489674-vmss,Virtual machine scale set,mc_ch1-contososh360clusterrg_ch1-contosononmonitoredcluster_eastus,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contosononmonitoredcluster_eastus,"intercontinental, US East, us east",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""aks-managed-createoperationid\"":\""f92bdcb9-e301-4226-8e72-bc32de8e0975\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-linuxpool-32489674-vmss\"""",""\""aks-managed-orchestrator:kubernetes\"":\""1.23.5\"""",""\""aks-managed-poolname\"":\""linuxpool\"""",""\""aks-managed-resourcenamesuffix\"":\""83348658\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.23.5\""""]",27.46260017,27.46260017,USD
ch1-contosowebappsvcplan-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri/providers/microsoft.web/serverfarms/ch1-contosowebappsvcplan-pri,App Service plan,ch1-opsrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri,US East,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""demo_cost_centre\"":\""3000333\"""",""\""demo_application\"":\""azure_analytics\"""",""\""demo_team\"":\""green\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_environment\"":\""dev\"""",""\""scenario\"":\""ops\"""",""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\""""]",24.38745,24.38745,USD
ch1-retailappsvcplan,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg/providers/microsoft.web/serverfarms/ch1-retailappsvcplan,App Service plan,ch1-fabrikamrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg,US East,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],24.38745,24.38745,USD
ch1-retailvm01,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg/providers/microsoft.compute/virtualmachines/ch1-retailvm01,Virtual machine,ch1-fabrikamrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg,"intercontinental, US East, us east",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""hidden-related:diagnostics/changeanalysisscanenabled\"":\""true\"""",""\""updatedomain\"":\""0\""""]",13.78820841,13.78820841,USD
ch1-dcvm10,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-sec/providers/microsoft.compute/virtualmachines/ch1-dcvm10,Virtual machine,ch1-infrarg-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-sec,"us west 2, intercontinental, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_infra\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""2000222\"""",""\""demo_environment\"":\""dev\"""",""\""demo_team\"":\""red\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""infra\"""",""\""updatedomain\"":\""0\""""]",13.7711146,13.7711146,USD
ch1-dcvm11,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-sec/providers/microsoft.compute/virtualmachines/ch1-dcvm11,Virtual machine,ch1-infrarg-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-sec,"us west 2, intercontinental, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_infra\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""2000222\"""",""\""demo_environment\"":\""dev\"""",""\""demo_team\"":\""red\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""infra\"""",""\""updatedomain\"":\""1\""""]",13.75711216,13.75711216,USD
ch1-dcvm00,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-pri/providers/microsoft.compute/virtualmachines/ch1-dcvm00,Virtual machine,ch1-infrarg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-pri,"us east, intercontinental, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_infra\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""1000111\"""",""\""demo_environment\"":\""prod\"""",""\""demo_team\"":\""blue\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""infra\"""",""\""updatedomain\"":\""0\""""]",13.7544177,13.7544177,USD
ch1-dcvm01,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-pri/providers/microsoft.compute/virtualmachines/ch1-dcvm01,Virtual machine,ch1-infrarg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-infrarg-pri,"intercontinental, us east, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_infra\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""1000111\"""",""\""demo_environment\"":\""prod\"""",""\""demo_team\"":\""blue\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""infra\"""",""\""updatedomain\"":\""1\""""]",13.75338185,13.75338185,USD
